segmento;prazo_plano;grupo;assembleia;data_assembleia;cotas_aptas;contemplados_sorteio;contemplados_lance_livre;contemplados_lance_fixo;ofertas_lance_livre;ofertas_lance_fixo;menor_lance_livre_pct;maior_lance_livre_pct;media_lance_livre_pct
AUTO;80;2201;7;2024-09-15;1156;3;5;2;40;6;34,95;64,35;44,93
AUTO;100;2202;4;2024-09-15;982;2;5;2;47;17;39,73;67,73;52,51
AUTO;72;2203;12;2024-09-15;840;2;8;2;35;7;40,21;69,92;53,85
AUTO;60;2204;17;2024-09-15;723;2;8;1;25;8;35,34;53,28;44,24
AUTO;80;2205;2;2024-09-15;1093;3;8;2;57;7;36,52;65,19;48,48
AUTO;80;2201;8;2024-10-15;1144;2;6;1;60;11;40,00;68,67;50,82
AUTO;100;2202;5;2024-10-15;972;3;5;2;34;16;40,53;53,98;46,33
AUTO;72;2203;13;2024-10-15;826;2;8;1;23;11;39,34;67,74;49,46
AUTO;60;2204;18;2024-10-15;710;3;7;2;52;18;31,79;51,27;38,12
AUTO;80;2205;3;2024-10-15;1078;3;7;2;52;14;42,38;68,90;54,43
AUTO;80;2201;9;2024-11-15;1133;2;6;2;43;7;42,39;57,68;47,64
AUTO;100;2202;6;2024-11-15;962;2;5;2;60;14;43,61;72,26;57,61
AUTO;72;2203;14;2024-11-15;814;3;8;1;38;19;36,24;59,63;45,42
AUTO;60;2204;19;2024-11-15;696;2;5;2;38;11;31,57;48,68;37,87
AUTO;80;2205;4;2024-11-15;1064;2;7;2;55;19;39,97;53,63;46,27
AUTO;80;2201;10;2024-12-15;1123;2;5;1;62;18;34,76;51,21;42,08
AUTO;100;2202;7;2024-12-15;951;2;7;2;63;20;43,21;63,06;52,30
AUTO;72;2203;15;2024-12-15;801;2;6;1;64;7;33,99;58,61;44,27
AUTO;60;2204;20;2024-12-15;686;2;7;1;63;12;35,03;54,29;42,75
AUTO;80;2205;5;2024-12-15;1053;2;5;2;60;13;40,94;57,37;48,90
AUTO;80;2201;11;2025-01-15;1114;2;8;2;60;9;41,58;63,48;50,90
AUTO;100;2202;8;2025-01-15;940;2;6;1;41;8;41,65;56,70;48,89
AUTO;72;2203;16;2025-01-15;790;2;6;2;66;17;38,90;55,58;46,24
AUTO;60;2204;21;2025-01-15;676;2;5;2;55;20;35,59;52,98;42,85
AUTO;80;2205;6;2025-01-15;1044;3;5;1;56;12;40,88;59,09;48,24
AUTO;80;2201;12;2025-02-15;1101;2;6;1;21;14;41,03;60,04;48,13
AUTO;100;2202;9;2025-02-15;930;2;8;2;56;17;40,18;58,10;46,41
AUTO;72;2203;17;2025-02-15;778;2;5;2;53;16;38,58;53,39;45,54
AUTO;60;2204;22;2025-02-15;666;2;5;1;32;18;38,61;60,43;45,38
AUTO;80;2205;7;2025-02-15;1033;2;8;1;51;17;41,62;63,83;49,44
AUTO;80;2201;13;2025-03-15;1091;2;8;2;29;7;35,20;58,33;45,93
AUTO;100;2202;10;2025-03-15;918;2;6;2;60;15;40,05;65,09;50,42
AUTO;72;2203;18;2025-03-15;767;2;8;1;25;9;37,79;61,57;48,62
AUTO;60;2204;23;2025-03-15;657;2;6;1;34;5;32,99;59,19;45,62
AUTO;80;2205;8;2025-03-15;1020;3;6;2;26;6;41,19;57,77;46,29
AUTO;80;2201;14;2025-04-15;1079;2;5;1;60;7;38,53;56,98;45,41
AUTO;100;2202;11;2025-04-15;908;3;5;1;59;19;35,53;57,70;42,94
AUTO;72;2203;19;2025-04-15;754;2;6;2;27;19;35,11;51,04;42,17
AUTO;60;2204;24;2025-04-15;646;3;6;1;47;17;33,28;56,69;43,23
AUTO;80;2205;9;2025-04-15;1009;2;8;1;61;15;31,33;43,96;36,05
AUTO;80;2201;15;2025-05-15;1071;2;8;1;24;18;39,71;64,68;47,60
AUTO;100;2202;12;2025-05-15;899;2;5;1;22;6;36,70;49,21;40,56
AUTO;72;2203;20;2025-05-15;742;2;7;2;48;17;33,74;54,30;39,97
AUTO;60;2204;25;2025-05-15;636;2;7;2;33;12;39,07;57,71;47,73
AUTO;80;2205;10;2025-05-15;997;3;5;2;31;13;41,43;55,05;46,39
AUTO;80;2201;16;2025-06-15;1060;2;6;1;52;9;36,12;66,05;49,48
AUTO;100;2202;13;2025-06-15;889;2;5;2;26;9;38,54;64,25;47,28
AUTO;72;2203;21;2025-06-15;730;2;5;2;60;6;35,77;51,55;42,66
AUTO;60;2204;26;2025-06-15;625;2;5;2;56;14;33,16;50,89;40,01
AUTO;80;2205;11;2025-06-15;987;2;6;1;37;10;35,20;53,88;41,68
AUTO;80;2201;17;2025-07-15;1051;2;7;1;42;19;35,21;51,19;42,67
AUTO;100;2202;14;2025-07-15;880;2;5;2;50;7;37,17;66,26;51,20
AUTO;72;2203;22;2025-07-15;720;2;7;2;28;9;34,53;46,76;39,22
AUTO;60;2204;27;2025-07-15;616;2;5;1;63;11;37,14;56,72;45,74
AUTO;80;2205;12;2025-07-15;978;2;8;1;29;7;41,93;69,00;50,30
AUTO;80;2201;18;2025-08-15;1039;3;8;1;60;9;32,53;49,48;40,38
AUTO;100;2202;15;2025-08-15;871;3;7;2;49;10;37,36;51,12;43,57
AUTO;72;2203;23;2025-08-15;708;2;6;2;50;9;37,45;62,79;49,82
AUTO;60;2204;28;2025-08-15;606;2;8;2;58;7;30,35;53,00;41,39
AUTO;80;2205;13;2025-08-15;966;2;7;2;63;7;33,17;58,76;45,65
AUTO;80;2201;19;2025-09-15;1025;3;7;2;46;8;33,89;46,56;38,15
AUTO;100;2202;16;2025-09-15;859;2;8;2;62;17;32,52;45,39;38,34
AUTO;72;2203;24;2025-09-15;698;2;6;1;43;15;37,68;64,25;49,02
AUTO;60;2204;29;2025-09-15;594;3;5;1;33;18;33,16;47,89;37,62
AUTO;80;2205;14;2025-09-15;954;3;6;1;64;19;35,38;49,62;41,02
AUTO;80;2201;20;2025-10-15;1012;2;7;2;57;14;35,95;50,02;41,67
AUTO;100;2202;17;2025-10-15;847;2;5;2;50;17;41,25;67,45;49,27
AUTO;72;2203;25;2025-10-15;687;2;7;1;52;10;37,56;64,52;49,94
AUTO;60;2204;30;2025-10-15;585;2;6;2;32;20;32,52;46,84;36,87
AUTO;80;2205;15;2025-10-15;944;2;6;1;25;19;37,97;58,40;47,83
AUTO;80;2201;21;2025-11-15;999;2;7;2;46;11;33,50;50,04;40,23
AUTO;100;2202;18;2025-11-15;838;2;6;2;21;14;33,84;61,36;42,59
AUTO;72;2203;26;2025-11-15;677;3;5;2;42;9;33,44;50,01;39,82
AUTO;60;2204;31;2025-11-15;575;2;7;2;51;16;30,65;55,16;38,71
AUTO;80;2205;16;2025-11-15;933;3;8;1;63;6;39,67;54,18;45,32
AUTO;80;2201;22;2025-12-15;986;3;6;1;60;16;29,91;44,54;35,27
AUTO;100;2202;19;2025-12-15;828;3;7;2;28;13;34,97;52,16;42,71
AUTO;72;2203;27;2025-12-15;665;2;5;2;29;20;36,14;53,57;43,04
AUTO;60;2204;32;2025-12-15;563;3;5;1;61;15;36,90;65,34;45,73
AUTO;80;2205;17;2025-12-15;920;3;5;2;29;11;31,08;60,58;41,83
AUTO;80;2201;23;2026-01-15;976;2;7;1;24;8;34,16;51,74;42,83
AUTO;100;2202;20;2026-01-15;814;2;7;1;40;18;35,65;56,55;43,37
AUTO;72;2203;28;2026-01-15;655;2;6;2;61;15;33,72;60,62;46,66
AUTO;60;2204;33;2026-01-15;552;2;8;1;43;10;35,25;60,38;43,62
AUTO;80;2205;18;2026-01-15;910;2;6;2;47;12;34,98;55,10;44,59
AUTO;80;2201;24;2026-02-15;966;2;7;1;30;12;38,06;55,30;45,39
AUTO;100;2202;21;2026-02-15;804;3;5;2;64;14;33,11;62,00;43,12
AUTO;72;2203;29;2026-02-15;645;3;7;2;60;7;32,07;55,90;40,21
AUTO;60;2204;34;2026-02-15;539;3;5;2;61;8;33,99;59,09;43,87
AUTO;80;2205;19;2026-02-15;900;2;7;1;38;12;33,07;47,87;38,31
AUTO;80;2201;25;2026-03-15;956;2;7;1;48;14;33,87;46,85;39,24
AUTO;100;2202;22;2026-03-15;794;2;5;2;61;6;32,70;51,92;39,98
AUTO;72;2203;30;2026-03-15;631;3;8;1;62;19;33,80;59,77;43,39
AUTO;60;2204;35;2026-03-15;527;2;7;2;39;6;33,54;59,55;43,70
AUTO;80;2205;20;2026-03-15;890;3;6;2;39;7;32,01;46,07;38,98
AUTO;80;2201;26;2026-04-15;945;2;8;1;31;5;33,66;56,27;41,37
AUTO;100;2202;23;2026-04-15;784;2;6;2;61;9;32,33;48,04;37,87
AUTO;72;2203;31;2026-04-15;617;2;7;1;53;16;33,81;56,76;44,28
AUTO;60;2204;36;2026-04-15;514;2;7;1;31;14;29,20;58,73;42,21
AUTO;80;2205;21;2026-04-15;878;2;7;1;37;6;39,72;65,31;52,37
AUTO;80;2201;27;2026-05-15;934;2;7;2;38;6;33,10;46,25;37,43
AUTO;100;2202;24;2026-05-15;773;3;7;1;50;15;36,54;60,95;46,82
AUTO;72;2203;32;2026-05-15;607;2;7;2;36;19;27,39;47,29;36,87
AUTO;60;2204;37;2026-05-15;503;2;6;2;39;17;25,31;41,74;31,51
AUTO;80;2205;22;2026-05-15;867;2;5;2;52;11;32,45;45,49;38,26
AUTO;80;2201;28;2026-06-15;923;2;8;2;38;8;30,65;54,26;40,39
AUTO;100;2202;25;2026-06-15;760;2;7;1;30;10;36,30;61,65;44,77
AUTO;72;2203;33;2026-06-15;596;2;6;2;36;13;30,72;51,24;39,16
AUTO;60;2204;38;2026-06-15;493;3;5;2;29;18;27,72;45,51;34,01
AUTO;80;2205;23;2026-06-15;856;2;7;1;45;11;39,39;53,91;43,75
AUTO;80;2201;29;2026-07-15;911;3;5;1;59;13;36,62;55,93;43,33
AUTO;100;2202;26;2026-07-15;749;2;6;1;36;16;30,60;51,74;38,08
AUTO;72;2203;34;2026-07-15;586;2;8;2;52;11;25,89;38,01;31,57
AUTO;60;2204;39;2026-07-15;481;2;8;2;57;7;35,90;62,25;46,69
AUTO;80;2205;24;2026-07-15;846;3;6;1;33;14;34,98;57,26;42,28
AUTO;80;2201;30;2026-08-15;900;3;8;1;55;9;33,94;62,88;43,45
AUTO;100;2202;27;2026-08-15;739;3;6;2;27;8;29,62;52,47;38,07
AUTO;72;2203;35;2026-08-15;573;3;7;1;23;14;29,63;49,17;39,24
AUTO;60;2204;40;2026-08-15;467;3;6;2;59;6;37,08;59,05;47,17
AUTO;80;2205;25;2026-08-15;836;2;7;1;35;7;31,97;58,89;44,83
IMOVEL;200;1101;15;2024-09-15;1832;1;5;1;52;8;50,28;74,00;57,74
IMOVEL;180;1102;7;2024-09-15;1446;1;5;1;34;6;45,52;65,57;55,29
IMOVEL;220;1103;3;2024-09-15;2470;2;6;1;63;18;54,30;83,91;66,23
IMOVEL;150;1104;21;2024-09-15;1056;1;6;2;33;18;51,91;75,34;59,64
IMOVEL;200;1105;2;2024-09-15;1789;2;6;1;44;13;47,50;65,06;55,59
IMOVEL;200;1101;16;2024-10-15;1825;2;6;1;57;6;52,13;65,67;57,32
IMOVEL;180;1102;8;2024-10-15;1439;1;3;2;59;11;41,14;61,60;48,66
IMOVEL;220;1103;4;2024-10-15;2459;1;6;2;65;9;51,08;70,86;58,97
IMOVEL;150;1104;22;2024-10-15;1046;2;6;1;26;5;49,01;75,14;59,09
IMOVEL;200;1105;3;2024-10-15;1779;1;3;2;33;18;53,97;69,45;59,74
