competencia;tipo;ipca_pct;incc_pct;igpm_pct;cdi_pct;tr_pct
2023-01;REALIZADO;0,4189;0,3838;0,2884;0,9789;0,0712
2023-02;REALIZADO;0,2649;0,5402;0,2023;0,9789;0,0712
2023-03;REALIZADO;0,2870;0,5693;0,2381;0,9789;0,0712
2023-04;REALIZADO;0,3037;0,5397;0,5223;0,9789;0,0712
2023-05;REALIZADO;0,3759;0,4163;0,1607;0,9789;0,0712
2023-06;REALIZADO;0,4821;0,5831;0,4412;0,9789;0,0712
2023-07;REALIZADO;0,4485;0,4633;0,3185;0,9789;0,0712
2023-08;REALIZADO;0,3096;0,5133;0,5603;0,9789;0,0712
2023-09;REALIZADO;0,4585;0,4847;0,1377;0,9789;0,0712
2023-10;REALIZADO;0,3190;0,3806;0,2702;0,9789;0,0712
2023-11;REALIZADO;0,3184;0,4424;0,5410;0,9789;0,0712
2023-12;REALIZADO;0,4174;0,4641;0,3813;0,9789;0,0712
2024-01;REALIZADO;0,3502;0,5132;0,6375;0,8583;0,0421
2024-02;REALIZADO;0,3829;0,5350;0,5170;0,8583;0,0421
2024-03;REALIZADO;0,2823;0,3757;0,4752;0,8583;0,0421
2024-04;REALIZADO;0,3278;0,4958;0,1835;0,8583;0,0421
2024-05;REALIZADO;0,4993;0,5339;0,3591;0,8583;0,0421
2024-06;REALIZADO;0,4458;0,5793;0,5006;0,8583;0,0421
2024-07;REALIZADO;0,4192;0,5921;0,4180;0,8583;0,0421
2024-08;REALIZADO;0,3236;0,4735;0,3404;0,8583;0,0421
2024-09;REALIZADO;0,5069;0,4549;0,5293;0,8583;0,0421
2024-10;REALIZADO;0,2860;0,4330;0,6738;0,8583;0,0421
2024-11;REALIZADO;0,4693;0,3888;0,4308;0,8583;0,0421
2024-12;REALIZADO;0,5045;0,3789;0,3671;0,8583;0,0421
2025-01;REALIZADO;0,4763;0,4318;0,7584;1,0979;0,1003
2025-02;REALIZADO;0,4281;0,5777;0,3008;1,0979;0,1003
2025-03;REALIZADO;0,4767;0,5256;0,4092;1,0979;0,1003
2025-04;REALIZADO;0,5244;0,5122;0,7415;1,0979;0,1003
2025-05;REALIZADO;0,4954;0,4142;0,1826;1,0979;0,1003
2025-06;REALIZADO;0,4287;0,3863;0,4090;1,0979;0,1003
2025-07;REALIZADO;0,3884;0,4098;0,0480;1,0979;0,1003
2025-08;REALIZADO;0,3743;0,5250;0,3637;1,0979;0,1003
2025-09;REALIZADO;0,4350;0,5571;0,4920;1,0979;0,1003
2025-10;REALIZADO;0,3598;0,5369;0,2455;1,0979;0,1003
2025-11;REALIZADO;0,4908;0,4848;0,4158;1,0979;0,1003
2025-12;REALIZADO;0,3939;0,5984;0,4063;1,0979;0,1003
2026-01;REALIZADO;0,2698;0,4849;0,2585;1,1274;0,1075
2026-02;REALIZADO;0,3309;0,4785;0,3456;1,1274;0,1075
2026-03;REALIZADO;0,3427;0,5254;0,1766;1,1274;0,1075
