codigo_plano;segmento;descricao;prazo_meses;taxa_adm_pct;fundo_reserva_pct;indice_reajuste;seguro_mensal_pct;taxa_adesao_pct;credito_min;credito_max;lance_embutido_max_pct;lance_fixo_pct;permite_parcela_reduzida;reducao_parcela_pct;base_lance;ativo
IMO-150;IMOVEL;Imóveis 150 meses;150;18,00;2,00;INCC;0,030;0,00;100000,00;1000000,00;30,00;25,00;S;50,00;CREDITO;S
IMO-180;IMOVEL;Imóveis 180 meses;180;20,00;2,00;INCC;0,030;1,00;100000,00;1000000,00;30,00;25,00;S;50,00;CREDITO;S
IMO-200A;IMOVEL;Imóveis 200 meses – até R$ 300 mil;200;22,00;2,00;INCC;0,030;1,00;100000,00;300000,00;30,00;25,00;S;50,00;CREDITO;S
IMO-200B;IMOVEL;Imóveis 200 meses – acima de R$ 300 mil;200;20,00;2,00;INCC;0,030;1,00;300000,01;1000000,00;30,00;25,00;S;50,00;CREDITO;S
IMO-220;IMOVEL;Imóveis 220 meses;220;23,00;2,00;INCC;0,030;1,00;100000,00;1000000,00;30,00;25,00;S;50,00;CREDITO;S
AUT-60;AUTO;Automóveis 60 meses;60;12,00;2,00;IPCA;0,045;0,00;40000,00;250000,00;25,00;20,00;S;50,00;CREDITO;S
AUT-72;AUTO;Automóveis 72 meses;72;14,00;2,00;IPCA;0,045;0,00;40000,00;250000,00;25,00;20,00;S;50,00;CREDITO;S
AUT-80A;AUTO;Automóveis 80 meses – até R$ 100 mil;80;17,00;2,00;IPCA;0,045;1,00;40000,00;100000,00;25,00;20,00;S;50,00;CREDITO;S
AUT-80B;AUTO;Automóveis 80 meses – acima de R$ 100 mil;80;15,00;2,00;IPCA;0,045;1,00;100000,01;250000,00;25,00;20,00;S;50,00;CREDITO;S
AUT-100;AUTO;Automóveis 100 meses;100;17,00;2,00;IPCA;0,045;1,00;50000,00;300000,00;25,00;20,00;S;50,00;CREDITO;S
PES-100;PESADOS;Pesados 100 meses;100;14,00;2,00;IPCA;0,040;0,00;150000,00;800000,00;30,00;25,00;S;30,00;CREDITO;S
PES-120;PESADOS;Pesados 120 meses;120;15,00;2,00;IPCA;0,040;0,00;150000,00;800000,00;30,00;25,00;S;30,00;CREDITO;S
SRV-24;SERVICOS;Serviços 24 meses;24;18,00;3,00;IPCA;0,050;0,00;10000,00;30000,00;0,00;0,00;N;0,00;CREDITO;S
SRV-36;SERVICOS;Serviços 36 meses;36;19,00;3,00;IPCA;0,050;0,00;10000,00;30000,00;0,00;0,00;N;0,00;CREDITO;S
SRV-40;SERVICOS;Serviços 40 meses;40;20,00;3,00;IPCA;0,050;0,00;10000,00;30000,00;0,00;0,00;N;0,00;CREDITO;S
